timestamp,zone_id,zone_name,flow_rate_lpm,population
2026-01-05 10:16:09.537666,Z001,Central Zone,1171.22,150000
2026-01-05 10:31:09.537666,Z001,Central Zone,1169.08,150000
2026-01-05 10:46:09.537666,Z001,Central Zone,1416.2,150000
2026-01-05 11:01:09.537666,Z001,Central Zone,1242.95,150000
2026-01-05 11:16:09.537666,Z001,Central Zone,1054.77,150000
2026-01-05 11:31:09.537666,Z001,Central Zone,1315.07,150000
2026-01-05 11:46:09.537666,Z001,Central Zone,1051.93,150000
2026-01-05 12:01:09.537666,Z001,Central Zone,1206.74,150000
2026-01-05 12:16:09.537666,Z001,Central Zone,1204.94,150000
2026-01-05 12:31:09.537666,Z001,Central Zone,983.66,150000
2026-01-05 12:46:09.537666,Z001,Central Zone,1308.53,150000
2026-01-05 13:01:09.537666,Z001,Central Zone,1226.01,150000
2026-01-05 13:16:09.537666,Z001,Central Zone,1682.31,150000
2026-01-05 13:31:09.537666,Z001,Central Zone,1093.5,150000
2026-01-05 13:46:09.537666,Z001,Central Zone,1021.9,150000
2026-01-05 14:01:09.537666,Z001,Central Zone,1154.57,150000
2026-01-05 14:16:09.537666,Z001,Central Zone,1243.37,150000
2026-01-05 14:31:09.537666,Z001,Central Zone,939.34,150000
2026-01-05 14:46:09.537666,Z001,Central Zone,1110.48,150000
2026-01-05 15:01:09.537666,Z001,Central Zone,1286.04,150000
2026-01-05 15:16:09.537666,Z001,Central Zone,1357.51,150000
2026-01-05 15:31:09.537666,Z001,Central Zone,1095.95,150000
2026-01-05 15:46:09.537666,Z001,Central Zone,1239.29,150000
2026-01-05 16:01:09.537666,Z001,Central Zone,1142.23,150000
2026-01-05 16:16:09.537666,Z001,Central Zone,1110.47,150000
2026-01-05 16:31:09.537666,Z001,Central Zone,1117.16,150000
2026-01-05 16:46:09.537666,Z001,Central Zone,1033.72,150000
2026-01-05 17:01:09.537666,Z001,Central Zone,1172.3,150000
2026-01-05 17:16:09.537666,Z001,Central Zone,1156.66,150000
2026-01-05 17:31:09.537666,Z001,Central Zone,1132.37,150000
2026-01-05 17:46:09.537666,Z001,Central Zone,1226.37,150000
2026-01-05 18:01:09.537666,Z001,Central Zone,2299.42,150000
2026-01-05 18:16:09.537666,Z001,Central Zone,2218.5,150000
2026-01-05 18:31:09.537666,Z001,Central Zone,2353.88,150000
2026-01-05 18:46:09.537666,Z001,Central Zone,2320.47,150000
2026-01-05 19:01:09.537666,Z001,Central Zone,1939.47,150000
